ITEM: TIMESTEP
1010000
ITEM: NUMBER OF ATOMS
80
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 5.0000000000000000e+01
0.0000000000000000e+00 5.0000000000000000e+01
0.0000000000000000e+00 5.0000000000000000e+01
ITEM: ATOMS id type
20 3
47 3
22 3
21 2
24 2
26 3
25 2
43 2
27 3
51 2
19 2
52 3
41 2
42 3
44 2
7 3
16 3
28 3
56 2
57 2
55 2
54 3
53 3
45 3
2 3
50 2
17 2
18 3
15 2
13 2
3 2
5 2
14 3
10 2
12 3
23 2
9 2
6 3
4 3
8 3
32 2
49 2
30 2
31 3
38 3
46 2
11 3
58 2
59 2
80 3
33 3
61 2
34 3
35 2
36 3
37 2
39 2
60 3
1 3
79 3
75 3
76 2
71 3
78 3
66 2
64 2
67 3
68 3
69 2
65 3
63 2
70 2
77 3
73 3
62 2
74 2
72 3
48 2
40 3
29 3
ITEM: TIMESTEP
1020000
ITEM: NUMBER OF ATOMS
80
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 5.0000000000000000e+01
0.0000000000000000e+00 5.0000000000000000e+01
0.0000000000000000e+00 5.0000000000000000e+01
ITEM: ATOMS id type
47 3
32 2
60 3
43 2
48 2
41 2
49 2
51 2
52 3
55 2
53 3
54 3
56 2
57 2
30 2
27 3
28 3
25 2
58 2
44 2
33 3
29 3
31 3
24 2
6 3
45 3
59 2
39 2
19 2
14 3
16 3
18 3
15 2
10 2
17 2
4 3
5 2
13 2
8 3
11 3
12 3
3 2
9 2
7 3
38 3
20 3
34 3
50 2
36 3
37 2
46 2
64 2
65 3
22 3
26 3
21 2
42 3
66 2
35 2
63 2
61 2
62 2
2 3
1 3
67 3
68 3
69 2
73 3
71 3
72 3
70 2
79 3
80 3
74 2
76 2
78 3
75 3
77 3
23 2
40 3
ITEM: TIMESTEP
1030000
ITEM: NUMBER OF ATOMS
80
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 5.0000000000000000e+01
0.0000000000000000e+00 5.0000000000000000e+01
0.0000000000000000e+00 5.0000000000000000e+01
ITEM: ATOMS id type
57 2
1 3
49 2
51 2
50 2
48 2
7 3
52 3
54 3
56 2
2 3
4 3
61 2
53 3
55 2
62 2
3 2
64 2
59 2
63 2
6 3
5 2
35 2
36 3
37 2
60 3
58 2
34 3
20 3
22 3
28 3
27 3
24 2
46 2
65 3
18 3
17 2
44 2
14 3
13 2
16 3
15 2
10 2
9 2
11 3
43 2
19 2
23 2
45 3
12 3
32 2
30 2
31 3
38 3
33 3
29 3
42 3
41 2
39 2
40 3
69 2
66 2
67 3
68 3
21 2
26 3
25 2
70 2
72 3
73 3
71 3
77 3
76 2
79 3
78 3
74 2
75 3
80 3
47 3
8 3
ITEM: TIMESTEP
1040000
ITEM: NUMBER OF ATOMS
80
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 5.0000000000000000e+01
0.0000000000000000e+00 5.0000000000000000e+01
0.0000000000000000e+00 5.0000000000000000e+01
ITEM: ATOMS id type
60 3
45 3
2 3
4 3
3 2
6 3
44 2
65 3
56 2
57 2
64 2
58 2
63 2
59 2
61 2
62 2
40 3
47 3
5 2
55 2
22 3
52 3
48 2
54 3
