# Time-averaged data for fix myfixR2
# TimeStep c_R2[0]
1002000 3.45442
1003000 3.41519
1004000 3.43541
1005000 3.42809
1006000 3.36435
1007000 3.22156
1008000 3.07997
1009000 2.9207
1010000 2.93517
1011000 3.07266
1012000 3.05211
1013000 2.96417
1014000 3.05364
1015000 3.11982
1016000 3.02923
1017000 2.94015
1018000 2.90045
1019000 2.89143
1020000 2.96258
1021000 3.06601
1022000 2.96618
1023000 2.87201
1024000 2.79358
1025000 2.73367
1026000 2.72572
1027000 2.75072
1028000 2.82085
1029000 2.83365
1030000 2.79923
1031000 2.7579
1032000 2.7403
1033000 2.9113
1034000 2.94309
1035000 2.8216
1036000 2.57508
1037000 2.38522
1038000 2.3316
1039000 2.44255
1040000 2.60087
1041000 2.57953
1042000 2.35878
1043000 2.37916
1044000 2.46329
1045000 2.45313
1046000 2.41359
1047000 2.36055
1048000 2.23575
1049000 2.19287
1050000 2.15539
1051000 2.19228
1052000 2.19141
1053000 2.11828
1054000 2.04959
1055000 2.08061
1056000 2.15446
1057000 2.1251
1058000 2.13188
1059000 2.14999
1060000 2.12408
1061000 2.12004
1062000 2.18287
1063000 2.28611
1064000 2.19911
1065000 2.11198
1066000 2.07224
1067000 2.03962
1068000 2.04681
1069000 2.05227
1070000 2.04367
1071000 2.11414
1072000 2.17202
1073000 2.20171
1074000 2.09591
1075000 1.92458
1076000 2.05047
1077000 2.18474
1078000 2.11042
1079000 2.11402
1080000 2.09898
1081000 2.02004
1082000 1.93613
1083000 1.91737
1084000 1.98946
1085000 1.93255
1086000 1.9441
1087000 1.98015
1088000 2.05693
1089000 2.17598
1090000 2.32398
1091000 2.31493
1092000 2.16225
1093000 2.05286
1094000 2.02294
1095000 2.04446
1096000 2.09278
1097000 2.04914
1098000 1.96088
1099000 2.05344
1100000 2.06257
1101000 2.06943
1102000 2.08192
1103000 1.90578
1104000 1.87189
1105000 2.01309
1106000 2.01487
1107000 1.95952
1108000 2.04667
1109000 2.16012
1110000 2.19202
1111000 2.11982
1112000 2.14132
1113000 2.16085
1114000 2.14592
1115000 2.1641
1116000 2.22835
1117000 2.24016
1118000 2.36516
1119000 2.26123
1120000 2.11268
1121000 2.18736
1122000 2.19975
1123000 2.29124
1124000 2.37795
1125000 2.36534
1126000 2.31463
1127000 2.13078
1128000 1.96832
1129000 1.9892
1130000 2.086
1131000 2.05748
1132000 1.93608
1133000 1.86693
1134000 1.93786
1135000 2.11467
1136000 2.18286
1137000 2.1205
1138000 1.94659
1139000 1.87901
1140000 1.9276
1141000 1.96545
1142000 2.11735
1143000 2.21312
1144000 2.10281
1145000 2.05003
1146000 2.09814
1147000 2.07785
1148000 2.01257
1149000 2.04908
1150000 2.17776
1151000 2.31601
1152000 2.45276
1153000 2.39303
1154000 2.2142
1155000 2.10852
1156000 2.19332
1157000 2.28458
1158000 2.40903
1159000 2.50292
1160000 2.48723
1161000 2.50376
1162000 2.56453
1163000 2.65588
1164000 2.59358
1165000 2.471
1166000 2.37545
1167000 2.31199
1168000 2.36957
1169000 2.38393
1170000 2.32175
1171000 2.166
1172000 2.03956
1173000 1.98794
1174000 1.90389
1175000 1.82641
1176000 1.89451
1177000 1.88024
1178000 1.94606
1179000 1.92433
1180000 1.97102
1181000 2.05327
1182000 2.00146
1183000 2.03184
1184000 1.98783
1185000 2.07792
1186000 2.09978
1187000 2.16037
1188000 2.24414
1189000 2.26228
1190000 2.30462
1191000 2.25813
